1 a1t_1 p1t_0 
2 a2t_3 p2t_2
3 a3t_5 p3t_4
4 a4t_7 p4t_6
5 a5t_9 p5t_8
6 a6t_11 p6t_10
7 a7t_13 p7t_12
8 a8t_15 p8t_14
9 a9t_17 p9t_16
10 a10_19 p10_18
11 a11_21 p11_20
12 a12_23 p12_22
13 a13_25 p13_24
14 a14_27 p14_26
15 a15_29 p15_28
16 a16_31 p16_30
17 a17_33 p17_32
18 a18_35 p18_34
19 a19_37 p19_36
20 a20_39 p20_38
21 a21_41 p21_40
22 a22_43 p22_42
23 a23_45 p23_44
24 a24_47 p24_46
25 a25_49 p25_48
26 a26_51 p26_50
27 a27_53 p27_52
28 a28_55 p28_54
29 a29_57 p29_56
30 a30_59 p30_58
31 a31_61 p31_60
32 a32_63 p32_62
33 a33_65 p33_64
34 a34_67 p34_66
35 a35_69 p35_68
36 a36_71 p36_70
37 a37_73 p37_72
38 a38_75 p38_74
