1 p2t_73 a2t_74
2 p2t_73 a2t_74
3 p3t_71 a3t_72
4 p4t_69 a4t_70
5 p5t_67 a5t_68
6 p6t_65 a6t_66
7 p7t_63 a7t_64
8 p8t_61 a8t_62
9 p9t_59 a9t_60
10 p10_57 a10_58
11 p11_55 a11_56
12 p12_53 a12_54
13 p13_51 a13_52
14 p14_49 a14_50
15 p15_47 a15_48
16 p16_45 a16_46
17 p17_43 a17_44
18 p18_41 a18_42
19 p19_39 a19_40
20 p20_36 a20_37
21 p21_34 a21_35
22 p22_32 a22_33
23 p23_30 a23_31
24 p24_28 a24_29
25 p25_26 a25_27
26 p26_24 a26_25
27 p27_22 a27_23
28 p28_20 a28_21
29 p29_18 a29_19
30 p30_16 a30_17
31 p31_14 a31_15
32 p32_12 a32_13
33 p33_10 a33_11
34 p34_8 a34_9
35 p35_6 a35_7
36 p36_4 a36_5
37 p37_2 a37_3
38 p38_0 a38_1
