1 a1t_1 p1t_0
2 a2t_3 p2t_2
3 a3t_6 p3t_5
4 a4t_8 p4t_7
5 a5t_10 p5t_9
6 a6t_12 p6t_11
7 a7t_14 p7t_13
8 a8t_16 p8t_15
9 a9t_18 p9t_17
10 a10_20 p10_19
11 a11_22 p11_21
12 a12_25 p12_24
13 a13_27 p13_26
14 a14_29 p14_28
15 a15_31 p15_30
16 a16_33 p16_32
17 a17_35 p17_34
18 a18_37 p18_36
19 a19_39 p19_38
20 a20_41 p20_40
21 a21_43 p21_42
22 a22_45 p22_44
23 a23_47 p23_46
24 a24_49 p24_48
25 a25_51 p25_50
26 a26_53 p26_52
27 a27_55 p27_54
28 a28_57 p28_56
29 a29_59 p29_58
30 a30_61 p30_60
31 a31_63 p31_62
32 a32_65 p32_64
33 a33_67 p33_66
34 a34_69 p34_68
35 a35_71 p35_70
36 a36_73 p36_72
37 a37_76 p37_74
38 a38_78 p38_77
