1 a1t_2 p1t_3 
2 a2t_4 p2t_5
3 a3t_6 p3t_7
4 a4t_8 p4t_9
5 a5t_10 p5t_11
6 a6t_12 p6t_13
7 a7t_14 p7t_15
8 a8t_16 p8t_17
9 a9t_18 p9t_19
10 a10_20 p10_21
11 a11_22 p11_23
12 a12_24 p12_25
13 a13_26 p13_27
14 a14_28 p14_29
15 a15_30 p15_31
16 a16_32 p16_33
17 a17_34 p17_35
18 a18_36 p18_37
19 a19_38 p19_39
20 a20_40 p20_41
21 a21_42 p21_43
22 a22_44 p22_45
23 a23_46 p23_47
24 a24_48 p24_49
25 a25_50 p25_51
26 a26_52 p26_53
27 a27_54 p27_55
28 a28_56 p28_57
29 a29_58 p29_59
30 a30_60 p30_61
31 a31_62 p31_63
32 a32_64 p32_65
33 a33_66 p33_67
34 a34_68 p34_69
35 a35_70 p35_71
36 a36_72 p36_73
37 a37_74 p37_75
38 a38_76 p38_77
